name,scheme
adenoidCysticBasaloidPattern,adenoidCysticBasaloidPattern
afpPostOrchiectomyLabValue,afp_lab_value
afpPreOrchiectomyLabValue,afp_lab_value
afpPretreatmentLabValue,afpPretreatmentLabValue
bilirubinPretreatmentTotalLabValue,bilirubinPretreatmentTotalLabValue
breslowTumorThickness,breslowTumorThickness
ceaPretreatmentLabValue,ceaPretreatmentLabValue
circumferentialResectionMargin,circumferentialResectionMargin
creatininePretreatmentLabValue,creatininePretreatmentLabValue
estrogenReceptorPercentPositiveOrRange,receptor_percent_positive
estrogenReceptorTotalAllredScore,estrogenReceptorTotalAllredScore
extranodalExtensionHeadAndNeckPathological,extranodalExtensionHeadAndNeckPathological
gestationalTrophoblasticPrognosticScoringIndex,gestationalTrophoblasticPrognosticScoringIndex
gleasonScoreClinical,gleason_score
gleasonScorePathological,gleason_score
hcgPostOrchiectomyLabValue,hcg_lab_value
hcgPreOrchiectomyLabValue,hcg_lab_value
her2IshDualProbeCopyNumber,her2_copy_number
her2IshDualProbeRatio,her2IshDualProbeRatio
her2IshSingleProbeCopyNumber,her2_copy_number
internationalNormalizedRatioForProthrombinTime,internationalNormalizedRatioForProthrombinTime
ki67,ki67
ldhPretreatmentLabValue,ldhPretreatmentLabValue
ldhUpperLimitsOfNormal,ldhUpperLimitsOfNormal
lnPositiveAxillaryLevel1To2,lnPositiveAxillaryLevel1To2
lnSize,lnSize
measuredBasalDiameter,measuredBasalDiameter
measuredThickness,measuredThickness
microvascularDensity,microvascularDensity
mitoticCountUvealMelanoma,mitoticCountUvealMelanoma
mitoticRateMelanoma,mitoticRateMelanoma
multigeneSignatureResults,multigeneSignatureResults
multiplicityCounter,multiplicityCounter
nccnInternationalPrognosticIndex,nccnInternationalPrognosticIndex
numberOfCoresExamined,number_of_cores
numberOfCoresPositive,number_of_cores
numberOfExaminedParaAorticNodes,number_of_examined_nodes
numberOfExaminedPelvicNodes,number_of_examined_nodes
numberOfPositiveParaAorticNodes,number_of_positive_nodes
numberOfPositivePelvicNodes,number_of_positive_nodes
oncotypeDxRecurrenceScoreDcis,oncotypeDxRecurrenceScoreDcis
oncotypeDxRecurrenceScoreInvasive,oncotypeDxRecurrenceScoreInvasive
percentNecrosisPostNeoadjuvant,percentNecrosisPostNeoadjuvant
phase1DosePerFraction,dose_per_fraction
phase1NumberOfFractions,number_of_fractions
phase1TotalDose,total_dose
phase2DosePerFraction,dose_per_fraction
phase2NumberOfFractions,number_of_fractions
phase2TotalDose,total_dose
phase3DosePerFraction,dose_per_fraction
phase3NumberOfFractions,number_of_fractions
phase3TotalDose,total_dose
progesteroneReceptorPercentPositiveOrRange,receptor_percent_positive
progesteroneReceptorTotalAllredScore,progesteroneReceptorTotalAllredScore
psaLabValue,psaLabValue
regionalNodesExamined,regional_nodes_removed
regionalNodesPositive,nodes_positive
rxHospRegLnRemoved,regional_nodes_removed
rxSummRegLnExamined,regional_nodes_removed
sarcomatoidFeatures,sarcomatoidFeatures
sentinelLymphNodesExamined,sentinelLymphNodesExamined
sentinelLymphNodesPositive,nodes_positive
sequenceNumberCentral,sequenceNumberCentral
sequenceNumberHospital,sequenceNumberHospital
survMosActiveFollowup,survival_months
survMosPresumedAlive,survival_months
totalDose,total_dose
tumorDeposits,tumorDeposits
tumorSizeClinical,tumor_size
tumorSizePathologic,tumor_size
tumorSizeSummary,tumor_size
